Week,plant identifier app: (Worldwide)
2018-04-29,8
2018-05-06,4
2018-05-13,5
2018-05-20,14
2018-05-27,19
2018-06-03,19
2018-06-10,7
2018-06-17,0
2018-06-24,4
2018-07-01,5
2018-07-08,6
2018-07-15,0
2018-07-22,3
2018-07-29,7
2018-08-05,3
2018-08-12,10
2018-08-19,8
2018-08-26,4
2018-09-02,2
2018-09-09,7
2018-09-16,10
2018-09-23,11
2018-09-30,8
2018-10-07,0
2018-10-14,0
2018-10-21,5
2018-10-28,5
2018-11-04,0
2018-11-11,0
2018-11-18,0
2018-11-25,4
2018-12-02,2
2018-12-09,3
2018-12-16,3
2018-12-23,3
2018-12-30,5
2019-01-06,7
2019-01-13,5
2019-01-20,2
2019-01-27,0
2019-02-03,4
2019-02-10,0
2019-02-17,2
2019-02-24,6
2019-03-03,2
2019-03-10,0
2019-03-17,3
2019-03-24,15
2019-03-31,14
2019-04-07,10
2019-04-14,8
2019-04-21,16
2019-04-28,28
2019-05-05,29
2019-05-12,35
2019-05-19,22
2019-05-26,18
2019-06-02,17
2019-06-09,13
2019-06-16,11
2019-06-23,17
2019-06-30,20
2019-07-07,30
2019-07-14,26
2019-07-21,30
2019-07-28,15
2019-08-04,16
2019-08-11,15
2019-08-18,22
2019-08-25,15
2019-09-01,17
2019-09-08,12
2019-09-15,9
2019-09-22,7
2019-09-29,9
2019-10-06,6
2019-10-13,6
2019-10-20,7
2019-10-27,0
2019-11-03,2
2019-11-10,9
2019-11-17,6
2019-11-24,7
2019-12-01,0
2019-12-08,6
2019-12-15,0
2019-12-22,6
2019-12-29,4
2020-01-05,2
2020-01-12,0
2020-01-19,9
2020-01-26,2
2020-02-02,2
2020-02-09,2
2020-02-16,4
2020-02-23,4
2020-03-01,7
2020-03-08,8
2020-03-15,11
2020-03-22,21
2020-03-29,21
2020-04-05,38
2020-04-12,33
2020-04-19,37
2020-04-26,55
2020-05-03,77
2020-05-10,49
2020-05-17,49
2020-05-24,55
2020-05-31,60
2020-06-07,51
2020-06-14,48
2020-06-21,61
2020-06-28,45
2020-07-05,32
2020-07-12,41
2020-07-19,38
2020-07-26,28
2020-08-02,26
2020-08-09,25
2020-08-16,34
2020-08-23,32
2020-08-30,25
2020-09-06,37
2020-09-13,29
2020-09-20,24
2020-09-27,18
2020-10-04,17
2020-10-11,15
2020-10-18,15
2020-10-25,14
2020-11-01,17
2020-11-08,16
2020-11-15,11
2020-11-22,19
2020-11-29,7
2020-12-06,8
2020-12-13,9
2020-12-20,12
2020-12-27,16
2021-01-03,10
2021-01-10,9
2021-01-17,12
2021-01-24,16
2021-01-31,9
2021-02-07,15
2021-02-14,21
2021-02-21,13
2021-02-28,18
2021-03-07,19
2021-03-14,16
2021-03-21,18
2021-03-28,39
2021-04-04,34
2021-04-11,33
2021-04-18,47
2021-04-25,63
2021-05-02,73
2021-05-09,68
2021-05-16,68
2021-05-23,81
2021-05-30,85
2021-06-06,72
2021-06-13,60
2021-06-20,66
2021-06-27,70
2021-07-04,52
2021-07-11,56
2021-07-18,57
2021-07-25,45
2021-08-01,48
2021-08-08,40
2021-08-15,39
2021-08-22,34
2021-08-29,25
2021-09-05,42
2021-09-12,33
2021-09-19,26
2021-09-26,33
2021-10-03,24
2021-10-10,25
2021-10-17,18
2021-10-24,15
2021-10-31,21
2021-11-07,10
2021-11-14,18
2021-11-21,7
2021-11-28,9
2021-12-05,6
2021-12-12,19
2021-12-19,9
2021-12-26,17
2022-01-02,13
2022-01-09,14
2022-01-16,16
2022-01-23,11
2022-01-30,19
2022-02-06,16
2022-02-13,19
2022-02-20,14
2022-02-27,18
2022-03-06,18
2022-03-13,23
2022-03-20,28
2022-03-27,26
2022-04-03,23
2022-04-10,37
2022-04-17,48
2022-04-24,55
2022-05-01,66
2022-05-08,67
2022-05-15,72
2022-05-22,68
2022-05-29,85
2022-06-05,76
2022-06-12,66
2022-06-19,62
2022-06-26,59
2022-07-03,65
2022-07-10,58
2022-07-17,58
2022-07-24,54
2022-07-31,42
2022-08-07,46
2022-08-14,50
2022-08-21,46
2022-08-28,40
2022-09-04,43
2022-09-11,31
2022-09-18,34
2022-09-25,32
2022-10-02,29
2022-10-09,34
2022-10-16,22
2022-10-23,25
2022-10-30,16
2022-11-06,19
2022-11-13,9
2022-11-20,14
2022-11-27,11
2022-12-04,10
2022-12-11,11
2022-12-18,11
2022-12-25,19
2023-01-01,21
2023-01-08,17
2023-01-15,21
2023-01-22,14
2023-01-29,15
2023-02-05,16
2023-02-12,24
2023-02-19,19
2023-02-26,20
2023-03-05,23
2023-03-12,28
2023-03-19,34
2023-03-26,28
2023-04-02,37
2023-04-09,51
2023-04-16,57
2023-04-23,100
