Week,plant: (Worldwide)
2018-04-29,60
2018-05-06,62
2018-05-13,60
2018-05-20,59
2018-05-27,56
2018-06-03,58
2018-06-10,53
2018-06-17,52
2018-06-24,49
2018-07-01,47
2018-07-08,52
2018-07-15,50
2018-07-22,49
2018-07-29,50
2018-08-05,47
2018-08-12,46
2018-08-19,47
2018-08-26,47
2018-09-02,49
2018-09-09,49
2018-09-16,49
2018-09-23,48
2018-09-30,49
2018-10-07,47
2018-10-14,45
2018-10-21,46
2018-10-28,45
2018-11-04,41
2018-11-11,42
2018-11-18,41
2018-11-25,44
2018-12-02,45
2018-12-09,42
2018-12-16,40
2018-12-23,36
2018-12-30,41
2019-01-06,45
2019-01-13,46
2019-01-20,44
2019-01-27,50
2019-02-03,47
2019-02-10,48
2019-02-17,46
2019-02-24,48
2019-03-03,49
2019-03-10,49
2019-03-17,58
2019-03-24,61
2019-03-31,58
2019-04-07,59
2019-04-14,58
2019-04-21,64
2019-04-28,63
2019-05-05,64
2019-05-12,62
2019-05-19,64
2019-05-26,64
2019-06-02,60
2019-06-09,58
2019-06-16,59
2019-06-23,56
2019-06-30,55
2019-07-07,56
2019-07-14,54
2019-07-21,56
2019-07-28,54
2019-08-04,53
2019-08-11,52
2019-08-18,55
2019-08-25,55
2019-09-01,53
2019-09-08,55
2019-09-15,58
2019-09-22,57
2019-09-29,53
2019-10-06,54
2019-10-13,53
2019-10-20,53
2019-10-27,51
2019-11-03,52
2019-11-10,51
2019-11-17,54
2019-11-24,45
2019-12-01,47
2019-12-08,44
2019-12-15,41
2019-12-22,37
2019-12-29,44
2020-01-05,49
2020-01-12,52
2020-01-19,50
2020-01-26,52
2020-02-02,51
2020-02-09,51
2020-02-16,55
2020-02-23,55
2020-03-01,54
2020-03-08,53
2020-03-15,53
2020-03-22,59
2020-03-29,63
2020-04-05,76
2020-04-12,76
2020-04-19,86
2020-04-26,90
2020-05-03,98
2020-05-10,97
2020-05-17,100
2020-05-24,97
2020-05-31,87
2020-06-07,82
2020-06-14,81
2020-06-21,83
2020-06-28,76
2020-07-05,78
2020-07-12,78
2020-07-19,76
2020-07-26,73
2020-08-02,76
2020-08-09,71
2020-08-16,77
2020-08-23,71
2020-08-30,67
2020-09-06,76
2020-09-13,77
2020-09-20,72
2020-09-27,69
2020-10-04,70
2020-10-11,64
2020-10-18,61
2020-10-25,54
2020-11-01,55
2020-11-08,56
2020-11-15,59
2020-11-22,54
2020-11-29,52
2020-12-06,55
2020-12-13,53
2020-12-20,46
2020-12-27,52
2021-01-03,56
2021-01-10,57
2021-01-17,59
2021-01-24,60
2021-01-31,60
2021-02-07,60
2021-02-14,63
2021-02-21,70
2021-02-28,71
2021-03-07,72
2021-03-14,71
2021-03-21,74
2021-03-28,76
2021-04-04,79
2021-04-11,76
2021-04-18,83
2021-04-25,83
2021-05-02,83
2021-05-09,87
2021-05-16,81
2021-05-23,77
2021-05-30,81
2021-06-06,76
2021-06-13,74
2021-06-20,67
2021-06-27,65
2021-07-04,67
2021-07-11,67
2021-07-18,69
2021-07-25,65
2021-08-01,64
2021-08-08,64
2021-08-15,63
2021-08-22,65
2021-08-29,64
2021-09-05,65
2021-09-12,69
2021-09-19,75
2021-09-26,67
2021-10-03,61
2021-10-10,63
2021-10-17,63
2021-10-24,60
2021-10-31,68
2021-11-07,82
2021-11-14,56
2021-11-21,51
2021-11-28,49
2021-12-05,50
2021-12-12,48
2021-12-19,44
2021-12-26,46
2022-01-02,55
2022-01-09,57
2022-01-16,56
2022-01-23,57
2022-01-30,57
2022-02-06,59
2022-02-13,65
2022-02-20,66
2022-02-27,79
2022-03-06,73
2022-03-13,70
2022-03-20,75
2022-03-27,73
2022-04-03,74
2022-04-10,76
2022-04-17,80
2022-04-24,84
2022-05-01,81
2022-05-08,89
2022-05-15,80
2022-05-22,79
2022-05-29,74
2022-06-05,76
2022-06-12,70
2022-06-19,73
2022-06-26,68
2022-07-03,65
2022-07-10,68
2022-07-17,66
2022-07-24,63
2022-07-31,61
2022-08-07,65
2022-08-14,59
2022-08-21,65
2022-08-28,63
2022-09-04,62
2022-09-11,66
2022-09-18,64
2022-09-25,64
2022-10-02,66
2022-10-09,67
2022-10-16,60
2022-10-23,56
2022-10-30,59
2022-11-06,58
2022-11-13,56
2022-11-20,51
2022-11-27,53
2022-12-04,53
2022-12-11,49
2022-12-18,45
2022-12-25,46
2023-01-01,48
2023-01-08,55
2023-01-15,58
2023-01-22,58
2023-01-29,58
2023-02-05,59
2023-02-12,61
2023-02-19,65
2023-02-26,66
2023-03-05,64
2023-03-12,63
2023-03-19,70
2023-03-26,73
2023-04-02,65
2023-04-09,72
2023-04-16,77
2023-04-23,80
